filename,sample_id,group_id
001_HC.png,001_HC,001
002_HC.png,002_HC,002
004_HC.png,004_HC,004
005_HC.png,005_HC,005
008_HC.png,008_HC,008
009_HC.png,009_HC,009
010_2HC.png,010_2HC,010
010_HC.png,010_HC,010
012_HC.png,012_HC,012
013_HC.png,013_HC,013
014_2HC.png,014_2HC,014
014_3HC.png,014_3HC,014
014_HC.png,014_HC,014
015_HC.png,015_HC,015
016_HC.png,016_HC,016
017_2HC.png,017_2HC,017
017_HC.png,017_HC,017
018_HC.png,018_HC,018
020_HC.png,020_HC,020
022_2HC.png,022_2HC,022
022_HC.png,022_HC,022
023_2HC.png,023_2HC,023
023_HC.png,023_HC,023
024_HC.png,024_HC,024
026_2HC.png,026_2HC,026
026_HC.png,026_HC,026
028_HC.png,028_HC,028
029_HC.png,029_HC,029
031_HC.png,031_HC,031
033_2HC.png,033_2HC,033
033_HC.png,033_HC,033
034_HC.png,034_HC,034
035_HC.png,035_HC,035
036_HC.png,036_HC,036
037_HC.png,037_HC,037
038_HC.png,038_HC,038
039_HC.png,039_HC,039
040_HC.png,040_HC,040
041_HC.png,041_HC,041
042_HC.png,042_HC,042
043_HC.png,043_HC,043
045_HC.png,045_HC,045
047_HC.png,047_HC,047
049_HC.png,049_HC,049
050_2HC.png,050_2HC,050
050_HC.png,050_HC,050
051_HC.png,051_HC,051
052_HC.png,052_HC,052
053_HC.png,053_HC,053
054_HC.png,054_HC,054
055_HC.png,055_HC,055
056_HC.png,056_HC,056
058_HC.png,058_HC,058
061_2HC.png,061_2HC,061
061_HC.png,061_HC,061
062_HC.png,062_HC,062
063_2HC.png,063_2HC,063
063_3HC.png,063_3HC,063
063_HC.png,063_HC,063
064_2HC.png,064_2HC,064
064_HC.png,064_HC,064
066_2HC.png,066_2HC,066
066_HC.png,066_HC,066
068_2HC.png,068_2HC,068
068_HC.png,068_HC,068
074_HC.png,074_HC,074
075_HC.png,075_HC,075
076_HC.png,076_HC,076
077_HC.png,077_HC,077
078_HC.png,078_HC,078
079_HC.png,079_HC,079
082_2HC.png,082_2HC,082
082_HC.png,082_HC,082
083_2HC.png,083_2HC,083
083_HC.png,083_HC,083
084_HC.png,084_HC,084
085_HC.png,085_HC,085
086_HC.png,086_HC,086
088_2HC.png,088_2HC,088
088_HC.png,088_HC,088
090_HC.png,090_HC,090
091_HC.png,091_HC,091
092_HC.png,092_HC,092
097_HC.png,097_HC,097
098_HC.png,098_HC,098
100_2HC.png,100_2HC,100
100_HC.png,100_HC,100
101_HC.png,101_HC,101
102_2HC.png,102_2HC,102
102_HC.png,102_HC,102
105_HC.png,105_HC,105
106_HC.png,106_HC,106
107_2HC.png,107_2HC,107
107_HC.png,107_HC,107
109_HC.png,109_HC,109
110_HC.png,110_HC,110
111_HC.png,111_HC,111
113_HC.png,113_HC,113
115_HC.png,115_HC,115
116_HC.png,116_HC,116
118_HC.png,118_HC,118
119_HC.png,119_HC,119
120_HC.png,120_HC,120
121_2HC.png,121_2HC,121
121_HC.png,121_HC,121
122_HC.png,122_HC,122
124_2HC.png,124_2HC,124
124_HC.png,124_HC,124
125_2HC.png,125_2HC,125
125_3HC.png,125_3HC,125
125_HC.png,125_HC,125
126_2HC.png,126_2HC,126
126_3HC.png,126_3HC,126
126_HC.png,126_HC,126
129_HC.png,129_HC,129
130_HC.png,130_HC,130
132_HC.png,132_HC,132
133_2HC.png,133_2HC,133
133_3HC.png,133_3HC,133
133_4HC.png,133_4HC,133
133_HC.png,133_HC,133
134_HC.png,134_HC,134
136_2HC.png,136_2HC,136
136_HC.png,136_HC,136
137_HC.png,137_HC,137
138_2HC.png,138_2HC,138
138_HC.png,138_HC,138
139_HC.png,139_HC,139
140_HC.png,140_HC,140
143_2HC.png,143_2HC,143
143_HC.png,143_HC,143
144_2HC.png,144_2HC,144
144_HC.png,144_HC,144
145_HC.png,145_HC,145
147_HC.png,147_HC,147
148_HC.png,148_HC,148
149_HC.png,149_HC,149
150_HC.png,150_HC,150
151_HC.png,151_HC,151
152_HC.png,152_HC,152
153_HC.png,153_HC,153
154_HC.png,154_HC,154
155_HC.png,155_HC,155
157_HC.png,157_HC,157
158_HC.png,158_HC,158
160_HC.png,160_HC,160
162_HC.png,162_HC,162
164_2HC.png,164_2HC,164
164_HC.png,164_HC,164
168_HC.png,168_HC,168
170_HC.png,170_HC,170
171_HC.png,171_HC,171
172_HC.png,172_HC,172
173_HC.png,173_HC,173
174_HC.png,174_HC,174
176_HC.png,176_HC,176
177_HC.png,177_HC,177
178_2HC.png,178_2HC,178
178_HC.png,178_HC,178
179_HC.png,179_HC,179
180_HC.png,180_HC,180
181_HC.png,181_HC,181
183_HC.png,183_HC,183
184_HC.png,184_HC,184
185_HC.png,185_HC,185
186_HC.png,186_HC,186
187_HC.png,187_HC,187
188_HC.png,188_HC,188
189_HC.png,189_HC,189
190_HC.png,190_HC,190
191_HC.png,191_HC,191
